OTU_ID	Kingdom_RDP	Kingdom_SINTAX	Kingdom_UTAX	Kingdom_Consensus	Phylum_RDP	Phylum_SINTAX	Phylum_UTAX	Phylum_Consensus	Class_RDP	Class_SINTAX	Class_UTAX	Class_Consensus	Order_RDP	Order_SINTAX	Order_UTAX	Order_Consensus	Family_RDP	Family_SINTAX	Family_UTAX	Family_Consensus	Genus_RDP	Genus_SINTAX	Genus_UTAX	Genus_Consensus	Species_RDP	Species_SINTAX	Species_UTAX	Species_Consensus
OTU97_4681;size=19	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Sporidiobolales	Sporidiobolales		Sporidiobolales	Sporidiobolaceae	Sporidiobolaceae		Sporidiobolaceae	Rhodotorula	Rhodotorula		Rhodotorula				
OTU97_21;size=56021	Fungi	Fungi	Fungi	Fungi																								
OTU97_6983;size=2	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
OTU97_1660;size=532	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_508;size=3518	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Hypocreales	Hypocreales		Hypocreales	Nectriaceae	Nectriaceae		Nectriaceae	Fusarium	Fusarium		Fusarium				
OTU97_1856;size=71	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota		Agaricomycetes		Agaricomycetes																
OTU97_2805;size=32	Fungi	Fungi	Fungi	Fungi																								
OTU97_1843;size=72	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Hymenochaetales	Hymenochaetales		Hymenochaetales												
OTU97_272;size=6988	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Trichosporonales	Trichosporonales		Trichosporonales	Trichosporonaceae	Trichosporonaceae		Trichosporonaceae	Apiotrichum	Apiotrichum		Apiotrichum		Apiotrichum domesticum 		Apiotrichum domesticum 
OTU97_4337;size=10	Fungi	Fungi	Fungi	Fungi																								
OTU97_3013;size=62	Fungi	Fungi	Fungi	Fungi																								
OTU97_6799;size=2	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Capnodiales	Capnodiales		Capnodiales	Mycosphaerellaceae	Mycosphaerellaceae		Mycosphaerellaceae								
OTU97_5643;size=5	Fungi	Fungi	Fungi	Fungi																								
OTU97_612;size=651	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales	Pleosporaceae	Pleosporaceae		Pleosporaceae	Bipolaris	Bipolaris		Bipolaris				
OTU97_2593;size=40	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
OTU97_5877;size=4	Fungi	Fungi	Fungi	Fungi																								
