OTU_ID	Kingdom_RDP	Kingdom_SINTAX	Kingdom_UTAX	Kingdom_Consensus	Phylum_RDP	Phylum_SINTAX	Phylum_UTAX	Phylum_Consensus	Class_RDP	Class_SINTAX	Class_UTAX	Class_Consensus	Order_RDP	Order_SINTAX	Order_UTAX	Order_Consensus	Family_RDP	Family_SINTAX	Family_UTAX	Family_Consensus	Genus_RDP	Genus_SINTAX	Genus_UTAX	Genus_Consensus	Species_RDP	Species_SINTAX	Species_UTAX	Species_Consensus
esv_2326	Fungi	Fungi	Fungi	Fungi																								
esv_4423	Fungi	Fungi	Fungi	Fungi																								
esv_9492	Fungi	Fungi	Fungi	Fungi																								
esv_2324	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_8009	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Saccharomycetes	Saccharomycetes	Saccharomycetes	Saccharomycetes	Saccharomycetales	Saccharomycetales	Saccharomycetales	Saccharomycetales	Incertae_sedis	Incertae_sedis	Candida	Incertae_sedis	Candida	Candida	Candida_haemulonis_22079	Candida	Candida haemulonis 	Candida haemulonis 		Candida haemulonis 
esv_428	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Xylariales	Xylariales		Xylariales	Xylariaceae	Xylariaceae		Xylariaceae	Kretzschmaria	Kretzschmaria		Kretzschmaria		Kretzschmaria sp 		Kretzschmaria sp 
esv_429	Fungi	Fungi	Fungi	Fungi		Glomeromycota		Glomeromycota		Glomeromycetes		Glomeromycetes		Glomerales		Glomerales		Glomeraceae		Glomeraceae								
esv_7412	Fungi	Fungi	Fungi	Fungi																								
esv_422	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Diaporthales	Diaporthales		Diaporthales												
esv_2322	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Orbiliomycetes	Orbiliomycetes		Orbiliomycetes	Orbiliales	Orbiliales		Orbiliales	Orbiliaceae	Orbiliaceae		Orbiliaceae								
esv_420	Fungi	Fungi	Fungi	Fungi																								
esv_421	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_426	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes																
esv_427	Fungi	Fungi	Fungi	Fungi		Mortierellomycota		Mortierellomycota		Mortierellomycetes		Mortierellomycetes		Mortierellales		Mortierellales												
esv_424	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Botryosphaeriales	Botryosphaeriales		Botryosphaeriales	Botryosphaeriaceae	Botryosphaeriaceae		Botryosphaeriaceae								
esv_2323	Fungi	Fungi	Fungi	Fungi																								
esv_1150	Fungi	Fungi	Fungi	Fungi																								
esv_7410	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Russulales	Russulales		Russulales	Peniophoraceae	Peniophoraceae		Peniophoraceae	Subulicystidium	Subulicystidium		Subulicystidium	Subulicystidium brachysporum 	Subulicystidium brachysporum 		Subulicystidium brachysporum 
esv_9208	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Pezizomycetes	Pezizomycetes		Pezizomycetes	Pezizales	Pezizales		Pezizales												
esv_4422	Fungi	Fungi	Fungi	Fungi																								
esv_4923	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
esv_9204	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota		Agaricomycetes		Agaricomycetes																
esv_9205	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
esv_9206	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Leotiomycetes	Leotiomycetes		Leotiomycetes	Helotiales	Helotiales		Helotiales												
esv_2633	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
esv_9200	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota		Agaricomycetes		Agaricomycetes																
esv_1400	Fungi	Fungi	Fungi	Fungi																								
esv_9202	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota																				
esv_9203	Fungi	Fungi	Fungi	Fungi																								
esv_5550	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota		Agaricomycetes		Agaricomycetes																
esv_5551	Fungi	Fungi	Fungi	Fungi																								
esv_5553	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
esv_5554	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_5557	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Hypocreales	Hypocreales		Hypocreales		Nectriaceae		Nectriaceae		Thelonectria		Thelonectria				
esv_5558	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Dothideomycetes		Dothideomycetes																
esv_5559	Fungi	Fungi	Fungi	Fungi																								
esv_7414	Fungi	Fungi	Fungi	Fungi																								
esv_3926	Fungi	Fungi	Fungi	Fungi																								
esv_3925	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota		Agaricomycetes		Agaricomycetes																
esv_3924	Fungi	Fungi	Fungi	Fungi																								
esv_4421	Fungi	Fungi	Fungi	Fungi																								
esv_4924	Fungi	Fungi	Fungi	Fungi		Ascomycota	Ascomycota	Ascomycota		Sordariomycetes	Sordariomycetes	Sordariomycetes		Hypocreales		Hypocreales												
esv_1851	Fungi	Fungi	Fungi	Fungi																								
esv_1157	Fungi	Fungi	Fungi	Fungi																								
esv_1850	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
esv_8269	Fungi	Fungi	Fungi	Fungi																								
esv_1853	Fungi	Fungi	Fungi	Fungi																								
esv_7208	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales												
esv_1159	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Polyporales	Polyporales		Polyporales	Hyphodermataceae	Hyphodermataceae		Hyphodermataceae	Hyphoderma	Hyphoderma		Hyphoderma	Hyphoderma nudicephalum 	Hyphoderma nudicephalum 		Hyphoderma nudicephalum 
esv_7206	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Agaricales	Agaricales		Agaricales		Tricholomataceae		Tricholomataceae								
esv_7207	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes		Hymenochaetales		Hymenochaetales		Schizoporaceae		Schizoporaceae								
esv_7204	Fungi	Fungi	Fungi	Fungi																								
esv_1852	Fungi	Fungi	Fungi	Fungi																								
esv_7202	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Polyporales	Polyporales		Polyporales												
esv_7203	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Leotiomycetes		Leotiomycetes		Helotiales		Helotiales												
esv_7200	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Wallemiomycetes	Wallemiomycetes	Wallemiomycetes	Wallemiomycetes	Wallemiales	Wallemiales	Wallemiales	Wallemiales	Wallemiaceae	Wallemiaceae		Wallemiaceae	Wallemia	Wallemia		Wallemia		Wallemia muriae 		Wallemia muriae 
esv_8262	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes																
esv_4929	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_4427	Fungi	Fungi	Fungi	Fungi		Glomeromycota		Glomeromycota		Glomeromycetes		Glomeromycetes																
esv_288	Fungi	Fungi	Fungi	Fungi																								
esv_289	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Polyporales	Polyporales		Polyporales												
esv_286	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes		Tremellomycetes	Filobasidiales	Filobasidiales		Filobasidiales	Filobasidiaceae	Filobasidiaceae		Filobasidiaceae	Naganishia	Naganishia		Naganishia		Naganishia diffluens 		Naganishia diffluens 
esv_287	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetes		Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetales		Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomycetaceae		Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces		Archaeorhizomyces				
esv_284	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Polyporales	Polyporales		Polyporales												
esv_285	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Cantharellales	Cantharellales		Cantharellales	Ceratobasidiaceae	Ceratobasidiaceae		Ceratobasidiaceae								
esv_282	Fungi	Fungi	Fungi	Fungi																								
esv_283	Fungi	Fungi	Fungi	Fungi																								
esv_280	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Leotiomycetes	Leotiomycetes		Leotiomycetes	Helotiales	Helotiales		Helotiales	Helotiaceae	Helotiaceae		Helotiaceae	Tetracladium	Tetracladium		Tetracladium		Tetracladium sp 		Tetracladium sp 
esv_281	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes		Agaricales		Agaricales												
esv_6774	Fungi	Fungi	Fungi	Fungi																								
esv_4426	Fungi	Fungi	Fungi	Fungi	Glomeromycota	Glomeromycota	Glomeromycota	Glomeromycota	Glomeromycetes	Glomeromycetes	Glomeromycetes	Glomeromycetes	Glomerales	Glomerales		Glomerales	Glomeraceae	Glomeraceae		Glomeraceae								
esv_4425	Fungi	Fungi	Fungi	Fungi																								
esv_8919	Fungi	Fungi	Fungi	Fungi																								
esv_8918	Fungi	Fungi	Fungi	Fungi																								
esv_8913	Fungi	Fungi	Fungi	Fungi																								
esv_8912	Fungi	Fungi	Fungi	Fungi																								
esv_8911	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes																
esv_8916	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_8915	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Eurotiomycetes	Eurotiomycetes		Eurotiomycetes	Chaetothyriales	Chaetothyriales		Chaetothyriales		Herpotrichiellaceae		Herpotrichiellaceae								
esv_8914	Fungi	Fungi	Fungi	Fungi																								
esv_5228	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
esv_10330	Fungi	Fungi	Fungi	Fungi																								
esv_10332	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
esv_5229	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
esv_4838	Fungi	Fungi	Fungi	Fungi																								
esv_10489	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota		Sordariomycetes		Sordariomycetes		Diaporthales		Diaporthales		Diaporthaceae		Diaporthaceae		Diaporthe		Diaporthe				
